ObservationId,MediaId,Vote,Content,ClassId,Family,Genus,Species,Location,Date
23116,1378,3.0,Flower,493,Asteraceae,Bellis,Bellis perennis L.,Palavas-les-Flots,2011-3-20
28135,15580,3.0,Flower,4477,Ranunculaceae,Anemone,Anemone alpina L.,Aston,2007-7-7
37273,97913,4.0,Flower,4516,Ranunculaceae,Ficaria,Ficaria verna Huds.,Vert-le-Petit,2013-4-21
25202,101501,4.0,Flower,2394,Cistaceae,Cistus,Cistus albidus L.,Narbonne,2012-4-11
11603,76867,3.0,Flower,5148,Salicaceae,Salix,Salix caprea L.,Sainte-Geneviève-des-Bois,2013-3-24
25955,54120,3.0,Flower,30269,Papaveraceae,Papaver,Papaver rhoeas L.,,1800-1-1
9801,3634,3.0,Flower,6512,Orchidaceae,Ophrys,Ophrys lutea Cav.,Murviel-lès-Montpellier (Garrigue du Mas Dieu) (34),2003-4-16
30674,39919,4.0,Flower,30162,Orchidaceae,Himantoglossum,Himantoglossum hircinum (L.) Spreng.,,1800-1-1
37734,97053,3.0,Flower,4411,Ranunculaceae,Anemone,Anemone nemorosa L.,Hélette,2013-4-10
29483,7164,2.67,Flower,4411,Ranunculaceae,Anemone,Anemone nemorosa L.,Orcines,2011-5-1
32752,110094,3.0,Flower,6535,Orchidaceae,Orchis,Orchis mascula (L.) L.,Saint-Hostien,2009-5-5
27107,41911,3.0,Flower,6418,Orchidaceae,Himantoglossum,Himantoglossum robertianum (Loisel.) P.Delforge,Tavel,2013-3-21
30753,54900,5.0,Flower,6415,Orchidaceae,Orchis,Orchis anthropophora (L.) All.,,1800-1-1
34781,74807,3.0,Flower,4034,Papaveraceae,Glaucium,Glaucium flavum Crantz,Montpellier,2013-6-8
37655,88831,3.0,Flower,30491,Violaceae,Viola,Viola tricolor L.,Saint-Genès-Champespe,2005-5-19
16131,94115,3.0,Flower,4411,Ranunculaceae,Anemone,Anemone nemorosa L.,Janville-sur-Juine,2012-3-25
23787,18433,3.0,Flower,6487,Orchidaceae,Ophrys,Ophrys apifera Huds.,Trémolat,2007-5-18
29360,104145,2.5,Flower,967,Asteraceae,Hypochaeris,Hypochaeris radicata L.,Athis-Mons,2012-5-28
35631,19175,4.0,Flower,6434,Orchidaceae,Dactylorhiza,Dactylorhiza fuchsii (Druce) Soó,Aulus-les-Bains,2014-6-10
40146,58092,4.0,Flower,4516,Ranunculaceae,Ficaria,Ficaria verna Huds.,Lourenties,2012-4-1
8148,42687,4.0,Flower,6437,Orchidaceae,Dactylorhiza,Dactylorhiza maculata (L.) Soó,Porté-Puymorens,2014-7-3
29061,28749,3.0,Flower,6512,Orchidaceae,Ophrys,Ophrys lutea Cav.,Nissan-lez-Enserune,2013-5-13
40286,73716,2.0,Flower,30491,Violaceae,Viola,Viola tricolor L.,La Godivelle,2013-7-21
