MediaId,Author,ClassId,Content,Date,Family,Genus,Latitude,Location,Longitude,ObservationId,Species,Vote
1378,pierre bonnet,493,Flower,2011-3-20,Asteraceae,Bellis,43.65188,Palavas-les-Flots,3.86169,23116,Bellis perennis L.,3
15580,mathieu menand,4477,Flower,2007-7-7,Ranunculaceae,Anemone,,Aston,,28135,Anemone alpina L.,3
97913,herve goeau,4516,Flower,2013-4-21,Ranunculaceae,Ficaria,48.84401,Vert-le-Petit,2.35995,37273,Ficaria verna Huds.,4
101501,liliane roubaudi,2394,Flower,2012-4-11,Cistaceae,Cistus,,Narbonne,,25202,Cistus albidus L.,4
76867,herve goeau,5148,Flower,2013-3-24,Salicaceae,Salix,48.8567,Sainte-Geneviève-des-Bois,2.24104,11603,Salix caprea L.,3
54120,thierry pernot,30269,Flower,1800-1-1,Papaveraceae,Papaver,,,,25955,Papaver rhoeas L.,3
3634,christophe girod,6512,Flower,2003-4-16,Orchidaceae,Ophrys,,Murviel-lès-Montpellier (Garrigue du Mas Dieu) (34),,9801,Ophrys lutea Cav.,3
39919,samantha bazan,30162,Flower,1800-1-1,Orchidaceae,Himantoglossum,,,,30674,Himantoglossum hircinum (L.) Spreng.,4
97053,florent beck,4411,Flower,2013-4-10,Ranunculaceae,Anemone,43.30994,Hélette,-1.27562,37734,Anemone nemorosa L.,3
7164,gisele arliguie,4411,Flower,2011-5-1,Ranunculaceae,Anemone,45.79701,Orcines,2.97373,29483,Anemone nemorosa L.,2.67
110094,jean-jacques houdre,6535,Flower,2009-5-5,Orchidaceae,Orchis,,Saint-Hostien,,32752,Orchis mascula (L.) L.,3
41911,ba3f8c0611e6f02a8ce804a42830192c,6418,Flower,2013-3-21,Orchidaceae,Himantoglossum,44.013,Tavel,4.695,27107,Himantoglossum robertianum (Loisel.) P.Delforge,3
54900,thierry pernot,6415,Flower,1800-1-1,Orchidaceae,Orchis,,,,30753,Orchis anthropophora (L.) All.,5
74807,pierre bonnet,4034,Flower,2013-6-8,Papaveraceae,Glaucium,43.59625,Montpellier,3.90086,34781,Glaucium flavum Crantz,3
88831,julien barataud,30491,Flower,2005-5-19,Violaceae,Viola,,Saint-Genès-Champespe,,37655,Viola tricolor L.,3
94115,jean-luc gorremans,4411,Flower,2012-3-25,Ranunculaceae,Anemone,48.512,Janville-sur-Juine,2.26108,16131,Anemone nemorosa L.,3
18433,mathieu menand,6487,Flower,2007-5-18,Orchidaceae,Ophrys,,Trémolat,,23787,Ophrys apifera Huds.,3
104145,jean-luc gorremans,967,Flower,2012-5-28,Asteraceae,Hypochaeris,48.6985,Athis-Mons,2.37857,29360,Hypochaeris radicata L.,2.5
19175,alain bigou,6434,Flower,2014-6-10,Orchidaceae,Dactylorhiza,42.78688,Aulus-les-Bains,1.35327,35631,Dactylorhiza fuchsii (Druce) Soó,4
58092,serge forestier,4516,Flower,2012-4-1,Ranunculaceae,Ficaria,43.29301,Lourenties,-0.15949,40146,Ficaria verna Huds.,4
42687,marie portas,6437,Flower,2014-7-3,Orchidaceae,Dactylorhiza,,Porté-Puymorens,,8148,Dactylorhiza maculata (L.) Soó,4
28749,liliane roubaudi,6512,Flower,2013-5-13,Orchidaceae,Ophrys,,Nissan-lez-Enserune,,29061,Ophrys lutea Cav.,3
73716,bertrand aucouturier,30491,Flower,2013-7-21,Violaceae,Viola,45.39168,La Godivelle,2.91601,40286,Viola tricolor L.,2
15238,paul fabre,6512,Flower,2010-4-17,Orchidaceae,Ophrys,43.68558,Saint-Clément-de-Rivière,3.82717,31458,Ophrys lutea Cav.,3
88538,thierry pernot,588,Flower,1800-1-1,Asteraceae,Centaurea,,,,24005,Centaurea jacea L.,5
92120,daniel mathieu,151,Flower,2008-7-22,Apiaceae,Daucus,,Prades-le-Lez,,13567,Daucus carota L.,3
82404,martin serre,4026,Flower,2012-4-24,Papaveraceae,Chelidonium,47.19941,Indre,-1.69074,21810,Chelidonium majus L.,3
15260,john de vos,4516,Flower,2007-3-3,Ranunculaceae,Ficaria,43.72937,Prades-le-Lez,3.8671,4593,Ficaria verna Huds.,4
31914,julien barataud,6437,Flower,2006-6-12,Orchidaceae,Dactylorhiza,,Sauviat-sur-Vige,,8572,Dactylorhiza maculata (L.) Soó,3
88336,paul fabre,6448,Flower,2011-6-25,Orchidaceae,Epipactis,44.42891,Malons-et-Elze,4.0052,26323,Epipactis atrorubens (Hoffm.) Besser,3
53560,mathieu menand,30162,Flower,2011-5-16,Orchidaceae,Himantoglossum,,Castelnau-de-Montmiral,,4581,Himantoglossum hircinum (L.) Spreng.,3
14694,pierre bonnet,661,Flower,2013-6-20,Asteraceae,Cichorium,43.59599,Montpellier,3.90111,7889,Cichorium intybus L.,5
110822,liliane roubaudi,786,Flower,2014-9-5,Asteraceae,Eupatorium,,Onet-le-Château,,5158,Eupatorium cannabinum L.,4
77924,emmanuel stratmains,32201,Flower,2012-4-11,Orchidaceae,Ophrys,43.44286,Roquebrune-sur-Argens,6.64212,6785,Ophrys virescens Philippe,3
97974,alain bigou,6437,Flower,2012-6-7,Orchidaceae,Dactylorhiza,42.92056,Puivert,2.04861,33819,Dactylorhiza maculata (L.) Soó,3
